# m1 1.0816389649653888 m2 0.889917382856869 m3 1.0105245559467184 
#  t x1 x2 x3 y1 y2 y3 vx1 vx2 vx3 vy1 vy2 vy3
0.000000000000000000e+00 0.000000000000000000e+00 -6.886099796773598181e-01 -8.249393206543162993e-01 1.000000000000000000e+00 -8.822604506754256892e-01 -2.520357175845919784e-01 3.471000000000000196e-01 3.471000000000000196e-01 -6.942000000000000393e-01 5.326999999999999513e-01 5.326999999999999513e-01 -1.065399999999999903e+00
1.000000000000000021e-03 3.471000000000000344e-04 -6.882628796773597735e-01 -8.256335206543162775e-01 1.000532699999999942e+00 -8.817277506754256367e-01 -2.531011175845919725e-01 3.467765783855118467e-01 3.466786341416559503e-01 -6.934827425934779743e-01 5.321166039260297742e-01 5.353284193839884519e-01 -1.067090262907104847e+00
2.000000000000000042e-03 6.938765783855119652e-04 -6.879162010432181562e-01 -8.263270033969097872e-01 1.001064816603925989e+00 -8.811924222560416631e-01 -2.541682078474990503e-01 3.464537872154643816e-01 3.462501006223777100e-01 -6.927598478051091302e-01 5.315341594147050541e-01 5.379656535816780272e-01 -1.068789307098268582e+00
3.000000000000000062e-03 1.040330365600976477e-03 -6.875699509425957645e-01 -8.270197632447149338e-01 1.001596350763340748e+00 -8.806544566024600007e-01 -2.552369971545973004e-01 3.461316242139916843e-01 3.458143237818068760e-01 -6.920312465686515591e-01 5.309526622111671035e-01 5.406117530325649234e-01 -1.070497172438691136e+00
4.000000000000000083e-03 1.386461989814968127e-03 -6.872241366188139855e-01 -8.277117944912836256e-01 1.002127303425552007e+00 -8.801138448494274513e-01 -2.563074943270359785e-01 3.458100871146937982e-01 3.453712269903621568e-01 -6.912968689744504180e-01 5.303721080801292453e-01 5.432667684925066576e-01 -1.072213899093124923e+00
5.000000000000000104e-03 1.732272076929661838e-03 -6.868787653918235758e-01 -8.284030913602580259e-01 1.002657675533632053e+00 -8.795705780809349728e-01 -2.573797082261291003e-01 3.454891736605515962e-01 3.449207326347061842e-01 -6.905566442565481688e-01 5.297924928057143878e-01 5.459307510345744463e-01 -1.073939527526452276e+00
6.000000000000000125e-03 2.077761250590213528e-03 -6.865338446591888744e-01 -8.290936480045145718e-01 1.003187468026437879e+00 -8.790246473299003771e-01 -2.584536477536555354e-01 3.451688816038419039e-01 3.444627621029658360e-01 -6.898105007795778398e-01 5.292138121912941529e-01 5.486037520498572295e-01 -1.075674098504220355e+00
7.000000000000000146e-03 2.422930132194055404e-03 -6.861893818970858927e-01 -8.297834585052941136e-01 1.003716681838629166e+00 -8.784760435778504739e-01 -2.595293218521597667e-01 3.448492087060532341e-01 3.439972357697013150e-01 -6.890583660254359089e-01 5.286360620593292259e-01 5.512858232482141796e-01 -1.077417653093133643e+00
8.000000000000000167e-03 2.767779340900108648e-03 -6.858453846613161708e-01 -8.304725168713195105e-01 1.004245317900688494e+00 -8.779247577546022141e-01 -2.606067395052529267e-01 3.445301527378016315e-01 3.435240729806193216e-01 -6.883001665797302548e-01 5.280592382512105942e-01 5.539770166589734757e-01 -1.079170232661498918e+00
9.000000000000001055e-03 3.112309493637910231e-03 -6.855018605883355098e-01 -8.311608170378992355e-01 1.004773377138939772e+00 -8.773707807379432788e-01 -2.616859097379144461e-01 3.442117114787474619e-01 3.430431920370258791e-01 -6.875358281179988484e-01 5.274833366271026724e-01 5.566773846315755669e-01 -1.080931878879624497e+00
1.000000000000000021e-02 3.456521205116657759e-03 -6.851588173962984696e-01 -8.318483528660172155e-01 1.005300860475566882e+00 -8.768141033533116691e-01 -2.627668416167940890e-01 3.438938827175119228e-01 3.425545101800134828e-01 -6.867652753916956287e-01 5.269083530657872050e-01 5.593869798361575940e-01 -1.082702633720167062e+00
1.099999999999999936e-02 3.800415087834169755e-03 -6.848162628861184098e-01 -8.325351181414089030e-01 1.005827768828632562e+00 -8.762547163734755173e-01 -2.638495442505142674e-01 3.435766642515947211e-01 3.420579435743780206e-01 -6.859884322139379043e-01 5.263342834645087231e-01 5.621058552640773032e-01 -1.084482539458428096e+00
1.200000000000000025e-02 4.143991752085764840e-03 -6.844742049425440733e-01 -8.332211065736228051e-01 1.006354103112097054e+00 -8.756926105182114561e-01 -2.649340267899726875e-01 3.432600538872913609e-01 3.415534072922601916e-01 -6.852052214450125023e-01 5.257611237388207792e-01 5.648340642283729007e-01 -1.086271638672594131e+00
1.300000000000000114e-02 4.487251805973055917e-03 -6.841326515352518234e-01 -8.339063117950678006e-01 1.006879864235835864e+00 -8.751277764539830972e-01 -2.660202984286452743e-01 3.429440494396115424e-01 3.410408152965064277e-01 -6.844155649776346717e-01 5.251888698224340679e-01 5.675716603641566271e-01 -1.088069974243920601e+00
1.400000000000000029e-02 4.830195855412667584e-03 -6.837916107199553117e-01 -8.345907273600454701e-01 1.007405053105658199e+00 -8.745602047936189560e-01 -2.671083684028892069e-01 3.426286487321973384e-01 3.405200804237439871e-01 -6.836193837219558533e-01 5.246175176670649920e-01 5.703186976289392751e-01 -1.089877589356855969e+00
1.499999999999999944e-02 5.172824504144865089e-03 -6.834510906395315777e-01 -8.352743467437674374e-01 1.007929670623325169e+00 -8.739898860959900428e-01 -2.681982459922460649e-01 3.423138495972421480e-01 3.399911143671648928e-01 -6.828165975903155438e-01 5.240470632422860042e-01 5.730752303028823214e-01 -1.091694527499103007e+00
1.600000000000000033e-02 5.515138353742106946e-03 -6.831110995251644669e-01 -8.359571633413577230e-01 1.008453717686567552e+00 -8.734168108656871210e-01 -2.692899405197451412e-01 3.419996498754097614e-01 3.394538276590133852e-01 -6.820071254817324791e-01 5.234775025353767264e-01 5.758413129889750071e-01 -1.093520832461616132e+00
1.700000000000000122e-02 5.857138003617516457e-03 -6.827716456975054804e-01 -8.366391704668394436e-01 1.008977195189102893e+00 -8.728409695526981871e-01 -2.703834613522067554e-01 3.416860474157540351e-01 3.389081296527712284e-01 -6.811908852661296976e-01 5.229088315511765117e-01 5.786170006131328147e-01 -1.095356548338529912e+00
1.800000000000000211e-02 6.198824051033270839e-03 -6.824327375678527208e-01 -8.373203613521055244e-01 1.009500104020654154e+00 -8.722623525520850629e-01 -2.714788179005452884e-01 3.413730400756386230e-01 3.383539285050351508e-01 -6.803677937682893750e-01 5.223410463119380065e-01 5.814023484242148987e-01 -1.097201719527017172e+00
1.899999999999999953e-02 6.540197091108909677e-03 -6.820943836393477122e-01 -8.380007291458738683e-01 1.010022445066966146e+00 -8.716809502036608759e-01 -2.725760196200723295e-01 3.410606257206571512e-01 3.377911311570809816e-01 -6.795377667515318798e-01 5.217741428571818219e-01 5.841974119939556953e-01 -1.099056390727074062e+00
2.000000000000000042e-02 6.881257716829567057e-03 -6.817565925081906508e-01 -8.386802669126254273e-01 1.010544219209823291e+00 -8.710967527916668729e-01 -2.736750760107993785e-01 3.407488022245538373e-01 3.372196433161080975e-01 -6.787007189011134978e-01 5.212081172435525378e-01 5.870022472168088257e-01 -1.100920606941227620e+00
2.100000000000000130e-02 7.222006519054121297e-03 -6.814193728648745285e-01 -8.393589676315265091e-01 1.011065427327066946e+00 -8.705097505444500117e-01 -2.747759966177406032e-01 3.404375674691443310e-01 3.366393694361586308e-01 -6.778565638073383859e-01 5.206429655446753735e-01 5.898169103096981836e-01 -1.102794413474164292e+00
2.199999999999999872e-02 7.562444086523265746e-03 -6.810827334954383527e-01 -8.400368241953338755e-01 1.011586070292611605e+00 -8.699199336341403299e-01 -2.758787910312147651e-01 3.401269193442368333e-01 3.360502126987051086e-01 -6.770052139483787590e-01 5.200786838510145227e-01 5.926414578116740994e-01 -1.104677855932274522e+00
2.299999999999999961e-02 7.902571005867503259e-03 -6.807466832827396841e-01 -8.407138294092822983e-01 1.012106148976462672e+00 -8.693272921763286476e-01 -2.769834688871470330e-01 3.398168557475536589e-01 3.354520749929005285e-01 -6.761465806727978700e-01 5.195152682697321556e-01 5.954759465834689180e-01 -1.106570980223110734e+00
